jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
FEDERAL,False,2001,149852,,,,,,,,,,,,,
ALABAMA,False,2001,24741,False,False,4468912.0,19582.0,379.0,1369.0,,5584.0,12250.0,173253.0,40642.0,119992.0,12619.0
ALASKA,True,2001,4570,False,False,633630.0,3735.0,39.0,501.0,,514.0,2681.0,23160.0,3847.0,16695.0,2618.0
ARIZONA,False,2001,27710,False,False,5306966.0,28675.0,400.0,1518.0,,8868.0,17889.0,293874.0,54821.0,186850.0,52203.0
ARKANSAS,False,2001,11489,False,False,2694698.0,12190.0,148.0,892.0,,2181.0,8969.0,99106.0,22196.0,69590.0,7320.0
CALIFORNIA,False,2001,157142,False,False,34600463.0,212867.0,2206.0,9960.0,,64614.0,136087.0,1134189.0,232273.0,697739.0,204177.0
COLORADO,False,2001,17278,False,False,4430989.0,15492.0,158.0,1930.0,,3555.0,9849.0,170887.0,28533.0,121360.0,20994.0
CONNECTICUT,True,2001,17507,False,False,3434602.0,11492.0,105.0,639.0,,4183.0,6565.0,95299.0,17159.0,65762.0,12378.0
DELAWARE,True,2001,6841,False,False,796599.0,4868.0,23.0,420.0,,1156.0,3269.0,27399.0,5144.0,19476.0,2779.0
FLORIDA,False,2001,72404,False,False,16373330.0,130713.0,874.0,6641.0,,32867.0,90331.0,782517.0,176052.0,516548.0,89917.0
GEORGIA,False,2001,45937,False,False,8405677.0,41671.0,598.0,2180.0,,14402.0,24491.0,347872.0,71799.0,238484.0,37589.0
HAWAII,True,2001,5116,False,False,1227024.0,3117.0,32.0,409.0,,1142.0,1534.0,62830.0,11162.0,44925.0,6743.0
IDAHO,False,2001,5270,False,False,1320585.0,3211.0,30.0,425.0,,245.0,2511.0,38181.0,7507.0,28285.0,2389.0
ILLINOIS,False,2001,44348,False,True,12520227.0,79270.0,982.0,4010.0,,24931.0,49347.0,434648.0,79158.0,306757.0,48733.0
INDIANA,False,2001,19646,False,False,6126743.0,22734.0,413.0,1716.0,,7171.0,13434.0,211548.0,42758.0,147291.0,21499.0
IOWA,False,2001,7962,False,False,2931967.0,7865.0,50.0,649.0,,1154.0,6012.0,88634.0,16885.0,66244.0,5505.0
KANSAS,False,2001,8574,False,False,2702125.0,10909.0,92.0,945.0,,2423.0,7449.0,105537.0,20514.0,77038.0,7985.0
KENTUCKY,False,2001,10720,False,True,4068816.0,10510.0,181.0,1051.0,,3269.0,6009.0,107356.0,26964.0,71448.0,8944.0
LOUISIANA,False,2001,19660,False,False,4470368.0,30678.0,501.0,1403.0,,7864.0,20910.0,207693.0,46451.0,139555.0,21687.0
MAINE,False,2001,1675,False,False,1284470.0,1435.0,19.0,326.0,,264.0,826.0,33154.0,6898.0,24585.0,1671.0
MARYLAND,False,2001,23739,False,False,5386079.0,42088.0,446.0,1449.0,,13525.0,26668.0,219512.0,41553.0,145934.0,32025.0
MASSACHUSETTS,False,2001,10203,False,False,6401164.0,30585.0,143.0,1856.0,,6476.0,22110.0,167079.0,32430.0,106821.0,27828.0
MICHIGAN,False,2001,48849,False,False,10006266.0,55424.0,672.0,5264.0,,12937.0,36551.0,352353.0,72038.0,226708.0,53607.0
MINNESOTA,False,2001,6406,False,False,4984535.0,13145.0,119.0,2236.0,,3758.0,7032.0,165046.0,25496.0,124519.0,15031.0
MISSISSIPPI,False,2001,15131,False,False,2859733.0,10006.0,282.0,1147.0,,3294.0,5283.0,109609.0,29821.0,70315.0,9473.0
MISSOURI,False,2001,28575,False,False,5637309.0,30472.0,372.0,1383.0,,7771.0,20946.0,238411.0,42977.0,167420.0,28014.0
MONTANA,False,2001,2795,False,False,905382.0,3187.0,34.0,188.0,,230.0,2735.0,30175.0,3670.0,24684.0,1821.0
NEBRASKA,False,2001,3915,False,False,1720039.0,5214.0,43.0,431.0,,1128.0,3612.0,68963.0,9760.0,52713.0,6490.0
NEVADA,False,2001,9862,False,False,2097722.0,12359.0,180.0,883.0,,4932.0,6364.0,77486.0,17711.0,45073.0,14702.0
NEW HAMPSHIRE,False,2001,2419,False,False,1259359.0,2144.0,17.0,458.0,,445.0,1224.0,27089.0,4889.0,20060.0,2140.0
NEW JERSEY,False,2001,26052,False,False,8511116.0,33094.0,336.0,1278.0,,14110.0,17370.0,240551.0,46812.0,156031.0,37708.0
NEW MEXICO,False,2001,5668,False,False,1830935.0,14288.0,99.0,850.0,,2695.0,10644.0,83095.0,19552.0,56406.0,7137.0
NEW YORK,False,2001,67554,False,False,19084350.0,98022.0,960.0,3546.0,,36555.0,56961.0,458003.0,80400.0,329316.0,48287.0
NORTH CAROLINA,False,2001,32203,False,False,8206105.0,40465.0,505.0,2083.0,,13304.0,24573.0,363777.0,101889.0,237241.0,24647.0
NORTH DAKOTA,False,2001,1088,False,False,636550.0,505.0,7.0,164.0,,60.0,274.0,14834.0,2165.0,11583.0,1086.0
OHIO,False,2001,44868,False,False,11389785.0,40023.0,452.0,4466.0,,17199.0,17906.0,435115.0,96910.0,295976.0,42229.0
OKLAHOMA,False,2001,21719,False,False,3469577.0,17726.0,185.0,1486.0,,2746.0,13309.0,141679.0,34573.0,94537.0,12569.0
OREGON,False,2001,10950,False,False,3473441.0,10650.0,84.0,1174.0,,2749.0,6643.0,164524.0,26648.0,123034.0,14842.0
PENNSYLVANIA,False,2001,37641,False,False,12303104.0,50432.0,651.0,3467.0,,17500.0,28814.0,313408.0,54345.0,223350.0,35713.0
RHODE ISLAND,True,2001,3364,False,False,1059659.0,3278.0,39.0,416.0,,986.0,1837.0,35742.0,6824.0,23875.0,5043.0
SOUTH CAROLINA,False,2001,21719,False,False,4062125.0,33114.0,330.0,1769.0,,5987.0,25028.0,186054.0,42611.0,126742.0,16701.0
SOUTH DAKOTA,False,2001,2799,False,False,758324.0,1171.0,7.0,351.0,,103.0,710.0,16473.0,3087.0,12571.0,815.0
TENNESSEE,False,2001,17466,False,False,5749398.0,42776.0,423.0,2196.0,,10219.0,29938.0,252992.0,59705.0,165015.0,28272.0
TEXAS,False,2001,148480,False,False,21370983.0,122155.0,1332.0,8169.0,,35348.0,77306.0,976654.0,204362.0,669625.0,102667.0
UTAH,False,2001,4145,False,False,2278712.0,5314.0,67.0,896.0,,1197.0,3154.0,90993.0,13804.0,70676.0,6513.0
VERMONT,True,2001,1400,False,False,612978.0,644.0,7.0,107.0,,107.0,423.0,16334.0,3150.0,12426.0,758.0
VIRGINIA,False,2001,31472,False,False,7196750.0,20939.0,364.0,1770.0,,6860.0,11945.0,207506.0,31604.0,157060.0,18842.0
WASHINGTON,False,2001,15226,False,False,5993390.0,21258.0,179.0,2600.0,,5934.0,12545.0,287234.0,53024.0,195133.0,39077.0
WEST VIRGINIA,False,2001,3403,False,False,1800975.0,5035.0,40.0,320.0,,707.0,3968.0,41085.0,9601.0,28268.0,3216.0
WISCONSIN,False,2001,20766,False,False,5405947.0,12486.0,192.0,1142.0,,4444.0,6708.0,166924.0,26927.0,125275.0,14722.0
WYOMING,False,2001,1487,False,False,493754.0,1272.0,9.0,153.0,,84.0,1026.0,16120.0,2481.0,12943.0,696.0
FEDERAL,False,2002,158216,,,,,,,,,,,,,
ALABAMA,False,2002,25100,False,False,4478896.0,19931.0,303.0,1664.0,,5962.0,12002.0,180400.0,42578.0,123932.0,13890.0
ALASKA,True,2002,4351,False,False,641482.0,3627.0,33.0,511.0,,489.0,2594.0,24118.0,3908.0,17739.0,2471.0
ARIZONA,False,2002,29359,False,False,5441125.0,30171.0,387.0,1608.0,,8000.0,20176.0,318296.0,59087.0,201541.0,57668.0
ARKANSAS,False,2002,11849,False,False,2706268.0,11501.0,142.0,754.0,,2524.0,8081.0,101171.0,23229.0,71129.0,6813.0
CALIFORNIA,False,2002,159695,False,False,35001986.0,208388.0,2395.0,10198.0,,64968.0,130827.0,1176484.0,238428.0,715692.0,222364.0
COLORADO,False,2002,18636,False,False,4501051.0,15882.0,179.0,2066.0,,3579.0,10058.0,180054.0,31678.0,125193.0,23183.0
CONNECTICUT,True,2002,18716,False,False,3458587.0,10807.0,84.0,740.0,,4069.0,5914.0,93426.0,17111.0,64735.0,11580.0
DELAWARE,True,2002,6637,False,False,805945.0,4836.0,26.0,358.0,,1154.0,3298.0,26967.0,5355.0,18555.0,3057.0
FLORIDA,False,2002,75210,False,False,16691701.0,128721.0,911.0,6753.0,,32581.0,88476.0,777236.0,177242.0,511478.0,88516.0
