jurisdiction,includes_jails,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Federal,0,"149,852","158,216","168,144","177,600","186,364","190,844","197,285","198,414","205,087","206,968","214,774","216,915","214,989","209,561","195,622","188,311"
Alabama,0,"24,741","25,100","27,614","25,635","24,315","24,103","25,253","25,363","27,241","27,345","26,813","26,768","26,825","26,145","25,212","23,745"
Alaska,1,"4,570","4,351","4,472","4,534","4,798","5,052","5,151","4,997","5,472","5,369","6,216","6,308","5,081","6,323","5,247","4,378"
Arizona,0,"27,710","29,359","31,084","32,384","33,345","35,752","37,700","39,455","40,544","40,130","39,949","40,013","41,031","42,136","42,204","42,248"
Arkansas,0,"11,489","11,849","12,068","12,577","12,455","12,854","13,275","13,135","13,338","14,192","14,090","14,043","14,295","15,250","15,784","15,833"
California,0,"157,142","159,695","161,785","163,939","168,035","172,298","171,444","171,085","168,830","162,821","147,578","132,935","134,339","134,430","127,815","129,416"
Colorado,0,"17,278","18,636","19,450","19,655","21,063","22,051","22,666","23,211","22,725","22,752","21,862","20,328","20,184","20,469","19,959","19,486"
Connecticut,1,"17,507","18,716","18,023","17,993","17,928","18,902","19,438","19,905","18,938","18,629","17,877","17,164","17,319","16,814","16,024","15,040"
Delaware,1,"6,841","6,637","6,630","6,753","6,788","7,021","7,110","6,944","6,581","6,378","6,546","6,730","6,798","6,730","6,437","6,334"
Florida,0,"72,404","75,210","79,594","83,165","86,559","90,377","95,187","99,878","101,373","102,070","100,861","99,835","100,940","100,873","99,485","98,010"
Georgia,0,"45,937","47,445","47,208","51,104","48,749","52,792","54,256","52,719","53,538","52,794","52,844","55,178","53,701","52,719","52,002","53,433"
Hawaii,1,"5,116","5,069","5,499","5,555","5,739","5,510","5,457","5,455","4,848","5,294","5,454","5,297","5,173","5,390","5,413","5,182"
Idaho,0,"5,270","5,451","5,558","5,758","6,249","6,665","7,055","7,033","7,184","7,235","7,470","7,715","7,219","7,497","7,238","7,221"
Illinois,0,"44,348","42,693","43,418","44,054","44,919","45,106","45,215","45,474","45,161","48,418","48,427","49,348","48,653","48,278","46,240","43,616"
Indiana,0,"19,646","20,349","21,345","21,984","22,760","24,901","25,137","26,392","26,748","27,273","27,402","28,034","28,495","32,493","26,586","25,143"
Iowa,0,"7,962","8,398","8,546","8,525","8,737","8,838","8,692","8,723","8,914","9,457","9,115","8,735","8,707","8,845","8,864","9,049"
Kansas,0,"8,574","8,967","9,168","8,991","9,090","8,833","8,721","8,556","8,644","9,055","9,330","9,505","9,610","9,539","9,533","9,653"
Kentucky,0,"10,720","11,583","11,660","13,322","14,904","15,589","15,364","15,260","14,984","14,501","14,001","12,998","12,141","12,114","11,959","11,867"
Louisiana,0,"19,660","20,010","19,498","19,470","19,371","20,815","20,461","20,857","19,889","19,008","18,844","18,601","18,794","18,710","18,447","15,059"
Maine,0,"1,675","1,855","1,974","2,013","1,970","2,083","2,148","2,047","2,074","1,954","1,978","1,977","2,073","2,199","2,190","2,356"
Maryland,0,"23,739","24,114","23,768","23,289","22,553","22,662","23,184","23,141","22,066","22,856","23,001","21,810","21,705","21,266","20,951","20,236"
Massachusetts,0,"10,203","9,879","9,828","9,825","10,348","10,773","11,071","11,174","11,156","11,162","11,467","11,127","10,622","10,447","9,493","9,038"
