Country,Code,2003,2004,2005,2006,2007,2008,2009,2010,R2003,R2004,R2005,R2006,R2007,R2008,R2009,R2010,Latest
Kenya,KEN,,1440,1365,1291,876,735,847,,,4.149595691,3.832700409,3.533022734,2.336919438,1.91130415,2.146358433,,2.146358433
Mauritius,MUS,53,40,38,64,77,69,57,51,4.29638925,3.211125909,3.023691418,5.052562439,6.036138439,5.374463819,4.413100249,3.925577214,3.925577214
Mozambique,MOZ,,102,64,46,41,47,44,,,0.503796079,0.308136543,0.216054219,0.187975733,0.210451845,0.19248767,,0.19248767
Uganda,UGA,537,549,732,750,599,1536,619,709,2.015642663,1.994794495,2.574635953,2.553604326,1.974298197,4.901179959,1.912387977,2.121186908,2.121186908
Zimbabwe,ZWE,3858,4997,4790,4967,4762,3186,,,30.5875958,39.66541347,38.10452349,39.64195343,38.15324513,25.58719028,,,25.58719028
Cameroon,CMR,451,555,592,580,447,,,,2.687184442,3.23327333,3.372529686,3.231486715,2.435964382,,,,2.435964382
Algeria,DZA,723,630,376,495,836,812,,,2.265501624,1.944681648,1.143258534,1.482393034,2.465596305,2.358543452,,,2.358543452
Egypt,EGY,20,21,44,48,63,87,,,0.027972641,0.028828335,0.059296622,0.063518569,0.081880313,0.11107806,,,0.11107806
Morocco,MAR,618,453,475,1063,1215,1130,1507,,2.075893316,1.505876308,1.562886969,3.462305686,3.917939451,3.607750892,4.763782758,,4.763782758
Sudan,SDN,,,,,,1189,,,,,,,,2.870930013,,,2.870930013
Botswana,BWA,,,,,,,1754,1865,,,,,,,88.5154039,92.92730992,92.92730992
Lesotho,LSO,,,,,1797,1878,1777,,,,,,85.32244954,88.27627183,82.68188969,,82.68188969
Swaziland,SWZ,785,849,,,,,,,72.10275515,77.49977864,,,,,,,77.49977864
Guinea,GIN,,,,,92,,,,,,,,0.981477912,,,,0.981477912
Senegal,SEN,,,301,159,167,416,710,693,,,2.768603266,1.423513161,1.455380686,3.529275125,5.864441373,5.573549622,5.573549622
Sierra Leone,SLE,,,,,135,79,,,,,,,2.46427306,1.407665433,,,1.407665433
Bahamas,BHS,,,87,72,135,118,109,78,,,27.24215457,22.2176964,41.05077829,35.36523597,32.21440013,22.74868247,22.74868247
Barbados,BRB,,,,,,,68,,,,,,,,24.93125573,,24.93125573
Grenada,GRD,,,23,22,30,31,57,32,,,22.38791442,21.35155333,29.02252148,29.88729597,54.75662123,30.62581948,30.62581948
Jamaica,JAM,,,,,,,695,668,,,,,,,25.45065978,24.37020531,24.37020531
Saint Kitts and Nevis,KNA,,,,,,,16,15,,,,,,,30.91667955,28.62486165,28.62486165
Saint Vincent and the Grenadines,VCT,,66,87,50,60,36,54,28,,60.79251331,79.99632201,45.90609449,55.01558775,32.97367602,49.41932296,25.60983418,25.60983418
Trinidad and Tobago,TTO,,305,334,259,317,236,247,,,23.27139328,25.39178614,19.6150007,23.91240065,17.73049645,18.48319563,,18.48319563
Belize,BLZ,,,48,44,,,30,21,,,17.08507299,15.32914105,,,9.823247042,6.738825583,6.738825583
Costa Rica,CRI,576,600,543,485,,,1685,,13.84469616,14.16562687,12.60032399,11.06846014,,,36.70392242,,36.70392242
El Salvador,SLV,,,1185,1140,,,756,681,,,19.58511617,18.76701687,,,12.27188458,10.99629856,10.99629856
Guatemala,GTM,,363,314,289,318,385,401,,,2.926295091,2.469105902,2.217124115,2.38044585,2.812097952,2.857423204,,2.857423204
Mexico,MEX,,13650,13550,13894,14199,14078,14850,14993,,12.97825006,12.72494546,12.88446852,13.0002766,12.72562746,13.25497942,13.21865388,13.21865388
Nicaragua,NIC,,,1322,1524,,,,1829,,,24.37164659,27.74174042,,,,31.5989719,31.5989719
Panama,PAN,,629,771,792,855,713,809,996,,19.76763444,23.80863417,24.03946114,25.51726176,20.93065378,23.36866363,28.32104003,28.32104003
Argentina,ARG,,,3154,3264,3276,3367,,,,,8.153837316,8.364115791,8.321465423,8.478054931,,,8.478054931
Bolivia,BOL,,,1137,1137,1437,1596,1989,2587,,,12.43077387,12.21705746,15.18466165,16.59308251,20.35107185,26.05276274,26.05276274
Chile,CHL,1658,1845,1974,2034,1980,2233,,,10.38860592,11.43674744,12.10914722,12.35071888,11.90386439,13.29515427,,,13.29515427
Colombia,COL,,1188,2627,3347,3379,3380,3540,3149,,2.802831294,6.103545405,7.659645363,7.618540511,7.510146141,7.753968082,6.802053818,6.802053818
Ecuador,ECU,1488,1246,1499,1484,,,,,11.45673635,9.433055926,11.16456963,10.87999831,,,,,10.87999831
Guyana,GUY,,,,,,,62,117,,,,,,,8.233589593,15.50710212,15.50710212
Paraguay,PRY,,,387,359,,,,,,,6.561750994,5.97477248,,,,,5.97477248
Peru,PER,5991,5721,6268,6569,7208,7560,6751,,22.25785361,21.00063531,22.74412184,23.57320309,25.59106738,26.56048282,23.469362,,23.469362
Suriname,SUR,186,223,,,,,,,38.20870994,45.21162283,,,,,,,45.21162283
Uruguay,URY,297,327,,,,,,,8.937373387,9.8453438,,,,,,,9.8453438
Bermuda,BMU,36,43,,,,,,,56.55486607,67.2873797,,,,,,,67.2873797
Canada,CAN,531,587,565,570,528,490,471,576,1.679924572,1.837613507,1.750124747,1.746966974,1.601099713,1.470237267,1.39864509,1.693291271,1.693291271
United States of America,USA,93883,95089,94347,94472,92610,90750,89241,84767,32.22998893,32.33625488,31.78589917,31.53645023,30.63669503,29.75516525,29.00385086,27.31036851,27.31036851
Kazakhstan,KAZ,,,1583,1584,1514,1298,,,,,10.43382775,10.34460262,9.782830848,8.291098024,,,8.291098024
Kyrgyzstan,KGZ,296,278,298,271,300,303,303,314,5.910132443,5.539651751,5.909906451,5.330737861,5.837469667,5.822327917,5.748550436,5.886518055,5.886518055
Tajikistan,TJK,,53,54,56,47,55,36,,,0.82927562,0.836788962,0.858285691,0.711643979,0.821948598,0.530708097,,0.530708097
Turkmenistan,TKM,37,36,27,27,,,,,0.79605638,0.766484038,0.568679772,0.562283638,,,,,0.562283638
Hong Kong Special Administrative Region of China,HKG,70,92,99,96,107,105,136,112,1.026057011,1.35140058,1.453774594,1.404948844,1.556866363,1.51594602,1.946200159,1.587934195,1.587934195
Japan,JPN,2472,2176,2076,1948,1766,1582,1402,1289,1.959041623,1.722890021,1.642496752,1.540349702,1.395876549,1.250151725,1.107847579,1.018683074,1.018683074
Mongolia,MNG,386,378,320,314,355,354,332,342,15.53209289,15.03303689,12.56212856,12.15103034,13.52633959,13.27098221,12.24342736,12.40928432,12.40928432
Republic of Korea,PRK,5899,6321,,,,,,,12.65205496,13.49755638,,,,,,,13.49755638
Brunei Darussalam,BRN,24,26,24,28,,,,,6.881306072,7.304540334,6.609330723,7.561089553,,,,,7.561089553
Philippines,PHL,3084,2918,2962,2584,2409,2585,5813,,3.747539766,3.476429344,3.462447356,2.966150699,2.717347441,2.866707346,6.338935798,,6.338935798
Singapore,SGP,110,103,124,118,,,,,2.692086489,2.475867503,2.906704854,2.675764265,,,,,2.675764265
Thailand,THA,,,5071,5308,5152,4641,4676,4636,,,7.602871568,7.889841521,7.599217841,6.798208859,6.805798179,6.706959153,6.706959153
Bangladesh,BGD,,,11291,11682,,,,,,,8.031273127,8.206331364,,,,,8.206331364
India,IND,,18233,18359,19348,20737,21467,21397,22172,,1.623610241,1.610378048,1.672200134,1.766397031,1.802641258,1.771655553,1.810529202,1.810529202
Maldives,MDV,2,1,,,5,9,,,0.697678475,0.343656783,,,1.647234787,2.925573412,,,2.925573412
Nepal,NPL,,,191,210,,,,,,,0.700096712,0.754482027,,,,,0.754482027
Sri Lanka,LKA,1378,1432,,,,,,,7.114147949,7.302171825,,,,,,,7.302171825
Armenia,ARM,3,9,15,7,5,15,15,11,0.098021469,0.293866804,0.489244131,0.228024616,0.162644945,0.487157394,0.486226973,0.355748508,0.355748508
Azerbaijan,AZE,49,25,44,35,34,25,35,16,0.584953585,0.294822863,0.51234865,0.402219378,0.385443303,0.279529496,0.38603208,0.174144296,0.174144296
Bahrain,BHR,19,27,25,17,21,36,,,2.935886421,4.019292605,3.449194061,2.095118374,2.268472659,3.420885838,,,3.420885838
Cyprus,CYP,32,41,39,29,19,34,27,,3.205982363,4.036203763,3.777012906,2.766457561,1.787348769,3.156914432,2.475989777,,2.475989777
Georgia,GEO,52,62,141,167,156,100,84,82,1.137885459,1.37180069,3.149426201,3.758869638,3.532643894,2.275821355,1.920601423,1.884085543,1.884085543
Israel,ISR,,1319,1223,1291,1270,1243,,,,20.38250498,18.51747547,19.11136448,18.35211848,17.52599007,,,17.52599007
Jordan,JOR,,,78,110,,,,,,,1.460126746,2.001777214,,,,,2.001777214
Kuwait,KWT,,98,108,125,137,120,119,,,4.475938406,4.770288523,5.315889278,5.596821332,4.708927459,4.496868441,,4.496868441
Lebanon,LBN,,,39,19,,,,,,,0.962387906,0.463702243,,,,,0.463702243
Occupied Palestinian Territory,#N/A,85,98,105,,,,,,2.48580314,2.813276253,2.953103036,,,,,,2.953103036
Oman,OMN,,,,,132,183,,,,,,,5.1538603,6.939801582,,,6.939801582
Qatar,QAT,11,13,,,,,,,1.68324407,1.817810629,,,,,,,1.817810629
Syrian Arab Republic,SYR,131,97,135,112,125,156,,,0.748994975,0.538745313,0.730356573,0.591943428,0.646954397,0.79210901,,,0.79210901
Turkey,TUR,1604,1638,1694,1783,1148,1071,,,2.417868118,2.436197541,2.485941881,2.581680655,1.640169781,1.510072863,,,1.510072863
United Arab Emirates,ARE,44,52,62,72,,,,,1.293752733,1.421525505,1.523585222,1.544160414,,,,,1.544160414
Yemen,YEM,,,95,95,125,158,176,,,,0.46007866,0.446259337,0.569554185,0.698293314,0.754451241,,0.754451241
Belarus,BLR,432,386,483,353,336,240,218,,4.355748938,3.910005055,4.915979498,3.610579838,3.453866418,2.479162126,2.262345766,,2.262345766
Bulgaria,BGR,611,529,403,310,225,262,246,211,7.793251045,6.791472273,5.207313756,4.031461001,2.944917093,3.451309271,3.261442825,2.815461071,2.815461071
Czech Republic,CZE,646,687,596,530,637,529,480,,6.333751237,6.734194859,5.831338513,5.166298267,6.176355805,5.097636113,4.597817856,,4.597817856
